P,variant,category,reps,mean_speedup,std_speedup,q25_speedup,q75_speedup,mean_eff,std_eff,iqr_speedup
4,adaptive,easy,5,1.771565,0.3007213111811333,1.790437,1.848307,0.4428908,0.07518055960951608,0.057869999999999866
4,adaptive,hard,5,1.7497277999999998,0.3495843047387854,1.446816,2.008114,0.43743160000000003,0.08739613484187961,0.5612979999999999
4,adaptive,med,5,1.5299695999999998,0.33506034769097937,1.293362,1.554088,0.3824922,0.08376496384049839,0.260726
4,cyclic,easy,5,2.89981,0.44547672438355296,2.654419,3.013486,0.724952,0.1113689680005162,0.359067
4,cyclic,hard,5,3.0544162,0.46767866838963257,2.729747,3.194405,0.7636038,0.11691982903981686,0.464658
4,cyclic,med,5,3.1223894000000003,0.7872525245334562,2.624135,3.696008,0.780597,0.1968131229885345,1.071873
4,permuted,easy,5,0.848444,0.10817999301395803,0.791623,0.882376,0.2121106,0.027045165044791285,0.09075300000000008
4,permuted,hard,5,0.7712852,0.11879229814554476,0.709701,0.745022,0.192821,0.029697938724766754,0.035320999999999936
4,permuted,med,5,0.748269,0.04319453023821418,0.719435,0.7711,0.1870668,0.010798596399532675,0.05166499999999996
