mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B_or_T_or_R,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
with_cache, , , , ,easy,1048577,4,adaptive_opt_T1.2,1.2,0.111672,0.046273,2.413330,3,57921,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/adaptive_opt_T1.2_easy_round1.log
with_cache, , , , ,hard,1048577,4,adaptive_opt_T1.2,1.2,0.082530,0.045090,1.830339,3,61921,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/adaptive_opt_T1.2_hard_round1.log
with_cache, , , , ,med,1048577,4,adaptive_opt_T1.2,1.2,0.079124,0.054277,1.457781,3,57921,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/adaptive_opt_T1.2_med_round1.log
with_cache, , , , ,easy,1048577,4,adaptive_opt_T1.5,1.5,0.111672,0.056583,1.973596,3,59921,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/adaptive_opt_T1.5_easy_round1.log
with_cache, , , , ,hard,1048577,4,adaptive_opt_T1.5,1.5,0.082530,0.049116,1.680308,3,57921,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/adaptive_opt_T1.5_hard_round1.log
with_cache, , , , ,med,1048577,4,adaptive_opt_T1.5,1.5,0.079124,0.049072,1.612406,3,57921,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/adaptive_opt_T1.5_med_round1.log
with_cache, , , , ,easy,1048577,4,adaptive_opt_T2.0,2.0,0.111672,0.051320,2.175994,3,57921,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/adaptive_opt_T2.0_easy_round1.log
with_cache, , , , ,hard,1048577,4,adaptive_opt_T2.0,2.0,0.082530,0.043566,1.894367,3,57921,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/adaptive_opt_T2.0_hard_round1.log
with_cache, , , , ,med,1048577,4,adaptive_opt_T2.0,2.0,0.079124,0.043253,1.829330,3,65921,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/adaptive_opt_T2.0_med_round1.log
with_cache, , , , ,easy,1048577,4,cyclic_opt,,0.111672,0.036330,3.073823,0,59897,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/cyclic_opt_easy_round1.log
with_cache, , , , ,hard,1048577,4,cyclic_opt,,0.082530,0.034363,2.401711,1,54467,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/cyclic_opt_hard_round1.log
with_cache, , , , ,med,1048577,4,cyclic_opt,,0.079124,0.024417,3.240529,1,55893,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/cyclic_opt_med_round1.log
with_cache, , , , ,easy,1048577,4,dynamic_opt_B100000,100000,0.111672,0.260121,0.429308,1,181381,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/dynamic_opt_B100000_easy_round1.log
with_cache, , , , ,hard,1048577,4,dynamic_opt_B100000,100000,0.082530,0.268101,0.307832,1,181380,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/dynamic_opt_B100000_hard_round1.log
with_cache, , , , ,med,1048577,4,dynamic_opt_B100000,100000,0.079124,0.242072,0.326861,1,181380,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/dynamic_opt_B100000_med_round1.log
with_cache, , , , ,easy,1048577,4,dynamic_opt_B20000,20000,0.111672,0.079927,1.397175,3,94975,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/dynamic_opt_B20000_easy_round1.log
with_cache, , , , ,hard,1048577,4,dynamic_opt_B20000,20000,0.082530,0.049270,1.675056,3,56765,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/dynamic_opt_B20000_hard_round1.log
with_cache, , , , ,med,1048577,4,dynamic_opt_B20000,20000,0.079124,0.079295,0.997843,3,94854,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/dynamic_opt_B20000_med_round1.log
with_cache, , , , ,easy,1048577,4,dynamic_opt_B50000,50000,0.111672,0.111937,0.997633,3,81380,/home/rodri/PY2-Paralela/artifacts/round1-20251028_162329/logs/dynamic_opt_B50000_easy_round1.log
