category,runs,mean_tseq,mean_tpar,mean_speedup,median_speedup,std_speedup,iqr_speedup,mean_eff,median_eff
easy,9,3.056193,0.07880555555555556,62.5491148560027,57.92193541050717,44.59629557252586,49.503372342088355,7.818639357000338,7.240241926313396
hard,9,3.056193,0.08293966666666668,47.340478071788226,49.839255719900194,24.351162661905253,34.85265596244905,5.917559758973528,6.229906964987524
med,9,3.056193,0.08202811111111112,53.13640104990472,39.19000051292573,39.15826883493465,28.903582806840003,6.64205013123809,4.898750064115716
