category,runs_base,mean_tseq_base,mean_tpar_base,mean_speedup_base,median_speedup_base,std_speedup_base,iqr_speedup_base,mean_eff_base,median_eff_base,runs_new,mean_tseq_new,mean_tpar_new,mean_speedup_new,median_speedup_new,std_speedup_new,iqr_speedup_new,mean_eff_new,median_eff_new,delta_mean_speedup_pct,delta_mean_eff_pct
hard,88,1.7411837499999998,0.9311863068181818,2.9211490321889215,3.145956131848333,1.7913600890956989,2.962671720470488,0.3651436290236152,0.39324451648104164,9,3.056193,0.08293966666666668,47.340478071788226,49.839255719900194,24.351162661905253,34.85265596244905,5.917559758973528,6.229906964987524,1520.6115316312469,1520.6115316312469
easy,88,3.8449563749999998,0.730227034090909,175.5331164630887,4.35393553437128,616.5645634117085,35.52786927325271,21.941639557886088,0.54424194179641,9,3.056193,0.07880555555555556,62.5491148560027,57.92193541050717,44.59629557252586,49.503372342088355,7.818639357000338,7.240241926313396,-64.36620273351348,-64.36620273351348
med,88,4.8165935,0.8920160340909091,184.23277351073241,4.267656609498035,587.1304084021683,76.45582030421308,23.029096688841552,0.5334570761872544,9,3.056193,0.08202811111111112,53.13640104990472,39.19000051292573,39.15826883493465,28.903582806840003,6.64205013123809,4.898750064115716,-71.15800840570353,-71.15800840570353
