variant,runs_base,mean_tseq_base,mean_tpar_base,mean_speedup_base,median_speedup_base,std_speedup_base,iqr_speedup_base,mean_eff_base,median_eff_base,runs_new,mean_tseq_new,mean_tpar_new,mean_speedup_new,median_speedup_new,std_speedup_new,iqr_speedup_new,mean_eff_new,median_eff_new,delta_mean_speedup_pct,delta_mean_eff_pct
dynamic,72,3.467577875,1.0638625138888889,3.5321914058891277,3.2867521925895566,0.8487185983088794,0.934525643182043,0.44152392573614097,0.4108440240736946,3.0,3.056193,1.5364593333333332,1.9913353870723256,1.9551514283027402,0.08234183141165245,0.07614603105904916,0.2489169233840407,0.24439392853784253,-43.623231069748215,-43.623231069748215
cyclic,23,3.6005607391304344,0.8623372173913044,4.644705381526045,4.409435852767151,1.0793264573040804,1.6847086299770595,0.5805881726907556,0.5511794815958939,,,,,,,,,,,
dynamic_adaptive,71,3.4878235070422536,0.9510643521126761,3.859971444625032,3.84468620229385,0.7043834146062604,0.8317703148243263,0.482496430578129,0.48058577528673124,,,,,,,,,,,
naive,8,1.7411837499999998,1.411197625,1.3806197663730582,1.2323122866478422,0.3366114844344622,0.3609267676929997,0.17257747079663227,0.15403903583098028,,,,,,,,,,,
permuted,24,1.74118375,1.8547027500000002,0.910128377002272,0.9097953410443558,0.1620569710918742,0.167305155745322,0.113766047125284,0.11372441763054447,,,,,,,,,,,
