category,runs_base,mean_tseq_base,mean_tpar_base,mean_speedup_base,median_speedup_base,std_speedup_base,iqr_speedup_base,mean_eff_base,median_eff_base,runs_new,mean_tseq_new,mean_tpar_new,mean_speedup_new,median_speedup_new,std_speedup_new,iqr_speedup_new,mean_eff_new,median_eff_new,delta_mean_speedup_pct,delta_mean_eff_pct
hard,87,1.756496528735632,0.9414473678160921,2.832543527550302,3.1250113567534825,1.5960478531596463,2.9354545283788576,0.35406794094378774,0.3906264195941853,3.0,3.056193,1.5364593333333332,1.9913353870723256,1.9551514283027402,0.08234183141165245,0.07614603105904916,0.2489169233840407,0.24439392853784253,-29.697977534893777,-29.697977534893777
easy,56,3.8449563749999998,1.0965905714285715,3.771965686735405,3.583082821738769,0.8129353311581321,1.0320586143748391,0.47149571084192565,0.44788535271734614,,,,,,,,,,,
med,55,4.867256327272727,1.389906909090909,3.8260118434995194,3.801589551306422,0.9134597362480211,0.9789132116675265,0.4782514804374399,0.47519869391330277,,,,,,,,,,,
