variant,runs,mean_tseq,mean_tpar,mean_speedup,median_speedup,std_speedup,iqr_speedup,mean_eff,median_eff
cyclic,23,3.6005607391304344,0.8623372173913044,4.644705381526045,4.409435852767151,1.0793264573040804,1.6847086299770595,0.5805881726907556,0.5511794815958939
dynamic,72,3.467577875,1.0638625138888889,3.5321914058891277,3.2867521925895566,0.8487185983088794,0.934525643182043,0.44152392573614097,0.4108440240736946
dynamic_adaptive,71,3.4878235070422536,0.9510643521126761,3.859971444625032,3.84468620229385,0.7043834146062604,0.8317703148243263,0.482496430578129,0.48058577528673124
naive,8,1.7411837499999998,1.411197625,1.3806197663730582,1.2323122866478422,0.3366114844344622,0.3609267676929997,0.17257747079663227,0.15403903583098028
permuted,24,1.74118375,1.8547027500000002,0.910128377002272,0.9097953410443558,0.1620569710918742,0.167305155745322,0.113766047125284,0.11372441763054447
