mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B_or_T_or_R,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
with_cache, , , , ,easy,1048577,8,adaptive_opt_T1.2,1.2,3.056193,0.021508,142.095639,7,121378,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/adaptive_opt_T1.2_easy_round1.log
with_cache, , , , ,hard,1048577,8,adaptive_opt_T1.2,1.2,3.056193,0.061321,49.839256,7,121378,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/adaptive_opt_T1.2_hard_round1.log
with_cache, , , , ,med,1048577,8,adaptive_opt_T1.2,1.2,3.056193,0.071882,42.516805,7,121378,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/adaptive_opt_T1.2_med_round1.log
with_cache, , , , ,easy,1048577,8,adaptive_opt_T1.5,1.5,3.056193,0.024804,123.213716,7,121378,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/adaptive_opt_T1.5_easy_round1.log
with_cache, , , , ,hard,1048577,8,adaptive_opt_T1.5,1.5,3.056193,0.056110,54.467885,7,121378,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/adaptive_opt_T1.5_hard_round1.log
with_cache, , , , ,med,1048577,8,adaptive_opt_T1.5,1.5,3.056193,0.021727,140.663368,7,121378,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/adaptive_opt_T1.5_med_round1.log
with_cache, , , , ,easy,1048577,8,adaptive_opt_T2.0,2.0,3.056193,0.051673,59.144873,7,121378,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/adaptive_opt_T2.0_easy_round1.log
with_cache, , , , ,hard,1048577,8,adaptive_opt_T2.0,2.0,3.056193,0.047551,64.271898,7,121378,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/adaptive_opt_T2.0_hard_round1.log
with_cache, , , , ,med,1048577,8,adaptive_opt_T2.0,2.0,3.056193,0.050575,60.428927,7,121378,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/adaptive_opt_T2.0_med_round1.log
with_cache, , , , ,easy,1048577,8,cyclic_opt,,3.056193,0.039594,77.188286,0,61227,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/cyclic_opt_easy_round1.log
with_cache, , , , ,hard,1048577,8,cyclic_opt,,3.056193,0.032458,94.158389,1,60538,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/cyclic_opt_hard_round1.log
with_cache, , , , ,med,1048577,8,cyclic_opt,,3.056193,0.034288,89.133020,1,58691,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/cyclic_opt_med_round1.log
with_cache, , , , ,easy,1048577,8,dynamic_opt_B100000,100000,3.056193,0.174576,17.506375,1,527686,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/dynamic_opt_B100000_easy_round1.log
with_cache, , , , ,hard,1048577,8,dynamic_opt_B100000,100000,3.056193,0.155707,19.627846,2,514883,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/dynamic_opt_B100000_hard_round1.log
with_cache, , , , ,med,1048577,8,dynamic_opt_B100000,100000,3.056193,0.149803,20.401414,1,420663,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/dynamic_opt_B100000_med_round1.log
with_cache, , , , ,easy,1048577,8,dynamic_opt_B20000,20000,3.056193,0.052764,57.921935,1,80750,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/dynamic_opt_B20000_easy_round1.log
with_cache, , , , ,hard,1048577,8,dynamic_opt_B20000,20000,3.056193,0.049977,61.151990,6,89025,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/dynamic_opt_B20000_hard_round1.log
with_cache, , , , ,med,1048577,8,dynamic_opt_B20000,20000,3.056193,0.077984,39.190001,7,111502,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/dynamic_opt_B20000_med_round1.log
with_cache, , , , ,easy,1048577,8,dynamic_opt_B50000,50000,3.056193,0.110392,27.684914,2,238160,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/dynamic_opt_B50000_easy_round1.log
with_cache, , , , ,hard,1048577,8,dynamic_opt_B50000,50000,3.056193,0.089989,33.961851,1,198372,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/dynamic_opt_B50000_hard_round1.log
with_cache, , , , ,med,1048577,8,dynamic_opt_B50000,50000,3.056193,0.093042,32.847456,3,217453,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/dynamic_opt_B50000_med_round1.log
with_cache, , , , ,easy,1048577,8,naive_opt,,3.056193,0.154311,19.805412,0,66322441437184,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/naive_opt_easy_round1.log
with_cache, , , , ,hard,1048577,8,naive_opt,,3.056193,0.116208,26.299334,0,293601317748736,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/naive_opt_hard_round1.log
with_cache, , , , ,med,1048577,8,naive_opt,,3.056193,0.096944,31.525345,0,146800658874368,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/naive_opt_med_round1.log
with_cache, , , , ,easy,1048577,8,permuted_opt,,3.056193,0.079628,38.380884,4,285092,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/permuted_opt_easy_round1.log
with_cache, , , , ,hard,1048577,8,permuted_opt,,3.056193,0.137136,22.285855,0,973417,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/permuted_opt_hard_round1.log
with_cache, , , , ,med,1048577,8,permuted_opt,,3.056193,0.142008,21.521273,4,908868,/home/rodri14/PY2-Paralela/artifacts/round1-20251028_105621/logs/permuted_opt_med_round1.log
