P,B,sync_freq,t_opt_mean,t_opt_std,t_baseline_mean,t_baseline_std,speedup_ratio,improvement_pct
4,20000.0,4.0,0.1451058,0.01140438267509469,0.0225048,0.0053294022835586345,0.1550923533035895,-84.49076466964105
8,20000.0,4.0,0.24399359999999998,0.03300285542646271,0.029183999999999998,0.0045339013002049355,0.11960969468051622,-88.03903053194838
4,20000.0,8.0,0.34298860000000003,0.059777427544182596,0.0225048,0.0053294022835586345,0.06561384255919875,-93.43861574408012
4,50000.0,4.0,0.3819484,0.018340226124560193,0.0225048,0.0053294022835586345,0.05892104797401952,-94.10789520259804
8,20000.0,8.0,0.538559,0.05308512748877974,0.029183999999999998,0.0045339013002049355,0.05418904892500171,-94.58109510749982
8,50000.0,4.0,0.7020596,0.1381109996281976,0.029183999999999998,0.0045339013002049355,0.04156912034248944,-95.84308796575105
4,50000.0,8.0,0.7465956,0.032805569425023016,0.0225048,0.0053294022835586345,0.030143226132058637,-96.98567738679414
8,50000.0,8.0,1.3595264,0.13364119669398355,0.029183999999999998,0.0045339013002049355,0.021466298852306213,-97.85337011476938
