category,variant,config_id,param_spec,rep,P,t_seq_s,t_par_s,speedup,efficiency,rank_found,tests_total,log_file
hard,adaptive,T1.4,-T 1.4,1,4,0.068774,0.042428,1.620957,.405239,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.4_hard_rep1.log
hard,adaptive,T1.4,-T 1.4,2,4,0.068774,0.039794,1.728250,.432062,3,61921,artifacts/round1b-20251028_221003/logs/adaptive_T1.4_hard_rep2.log
hard,adaptive,T1.4,-T 1.4,3,4,0.068774,0.032204,2.135573,.533893,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.4_hard_rep3.log
easy,adaptive,T1.5,-T 1.5,1,4,0.069152,0.033490,2.064855,.516213,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.5_easy_rep1.log
easy,adaptive,T1.5,-T 1.5,2,4,0.069152,0.039447,1.753035,.438258,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.5_easy_rep2.log
easy,adaptive,T1.5,-T 1.5,3,4,0.069152,0.037561,1.841058,.460264,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.5_easy_rep3.log
med,adaptive,T1.5,-T 1.5,1,4,0.068887,0.033041,2.084894,.521223,3,65921,artifacts/round1b-20251028_221003/logs/adaptive_T1.5_med_rep1.log
med,adaptive,T1.5,-T 1.5,2,4,0.068887,0.037475,1.838212,.459553,3,77921,artifacts/round1b-20251028_221003/logs/adaptive_T1.5_med_rep2.log
med,adaptive,T1.5,-T 1.5,3,4,0.068887,0.037168,1.853395,.463348,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.5_med_rep3.log
hard,adaptive,T1.5,-T 1.5,1,4,0.068774,0.027599,2.491901,.622975,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.5_hard_rep1.log
hard,adaptive,T1.5,-T 1.5,2,4,0.068774,0.038364,1.792670,.448167,3,61921,artifacts/round1b-20251028_221003/logs/adaptive_T1.5_hard_rep2.log
hard,adaptive,T1.5,-T 1.5,3,4,0.068774,0.031142,2.208400,.552100,3,61921,artifacts/round1b-20251028_221003/logs/adaptive_T1.5_hard_rep3.log
easy,adaptive,T1.6,-T 1.6,1,4,0.069152,0.026651,2.594724,.648681,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.6_easy_rep1.log
easy,adaptive,T1.6,-T 1.6,2,4,0.069152,0.038426,1.799614,.449903,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.6_easy_rep2.log
easy,adaptive,T1.6,-T 1.6,3,4,0.069152,0.101587,.680717,.170179,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.6_easy_rep3.log
med,adaptive,T1.6,-T 1.6,1,4,0.068887,0.039384,1.749111,.437277,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.6_med_rep1.log
med,adaptive,T1.6,-T 1.6,2,4,0.068887,0.034972,1.969775,.492443,3,69921,artifacts/round1b-20251028_221003/logs/adaptive_T1.6_med_rep2.log
med,adaptive,T1.6,-T 1.6,3,4,0.068887,0.042634,1.615776,.403944,3,65921,artifacts/round1b-20251028_221003/logs/adaptive_T1.6_med_rep3.log
hard,adaptive,T1.6,-T 1.6,1,4,0.068774,0.037556,1.831238,.457809,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.6_hard_rep1.log
hard,adaptive,T1.6,-T 1.6,2,4,0.068774,0.031766,2.165019,.541254,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.6_hard_rep2.log
hard,adaptive,T1.6,-T 1.6,3,4,0.068774,0.027207,2.527805,.631951,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.6_hard_rep3.log
easy,adaptive,T1.8,-T 1.8,1,4,0.069152,0.039351,1.757312,.439328,3,63921,artifacts/round1b-20251028_221003/logs/adaptive_T1.8_easy_rep1.log
easy,adaptive,T1.8,-T 1.8,2,4,0.069152,0.031580,2.189740,.547435,3,61921,artifacts/round1b-20251028_221003/logs/adaptive_T1.8_easy_rep2.log
easy,adaptive,T1.8,-T 1.8,3,4,0.069152,0.038587,1.792106,.448026,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.8_easy_rep3.log
med,adaptive,T1.8,-T 1.8,1,4,0.068887,0.032813,2.099381,.524845,3,65921,artifacts/round1b-20251028_221003/logs/adaptive_T1.8_med_rep1.log
med,adaptive,T1.8,-T 1.8,2,4,0.068887,0.030985,2.223237,.555809,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.8_med_rep2.log
med,adaptive,T1.8,-T 1.8,3,4,0.068887,0.030023,2.294474,.573618,3,63921,artifacts/round1b-20251028_221003/logs/adaptive_T1.8_med_rep3.log
hard,adaptive,T1.8,-T 1.8,1,4,0.068774,0.032652,2.106272,.526568,3,65921,artifacts/round1b-20251028_221003/logs/adaptive_T1.8_hard_rep1.log
hard,adaptive,T1.8,-T 1.8,2,4,0.068774,0.038668,1.778576,.444644,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.8_hard_rep2.log
hard,adaptive,T1.8,-T 1.8,3,4,0.068774,0.034010,2.022169,.505542,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T1.8_hard_rep3.log
easy,adaptive,T2.0,-T 2.0,1,4,0.069152,0.034979,1.976957,.494239,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.0_easy_rep1.log
easy,adaptive,T2.0,-T 2.0,2,4,0.069152,0.032128,2.152390,.538097,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.0_easy_rep2.log
easy,adaptive,T2.0,-T 2.0,3,4,0.069152,0.039712,1.741337,.435334,3,59921,artifacts/round1b-20251028_221003/logs/adaptive_T2.0_easy_rep3.log
med,adaptive,T2.0,-T 2.0,1,4,0.068887,0.037544,1.834833,.458708,3,71921,artifacts/round1b-20251028_221003/logs/adaptive_T2.0_med_rep1.log
med,adaptive,T2.0,-T 2.0,2,4,0.068887,0.034962,1.970339,.492584,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.0_med_rep2.log
med,adaptive,T2.0,-T 2.0,3,4,0.068887,0.049584,1.389298,.347324,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.0_med_rep3.log
hard,adaptive,T2.0,-T 2.0,1,4,0.068774,0.033224,2.070009,.517502,3,61921,artifacts/round1b-20251028_221003/logs/adaptive_T2.0_hard_rep1.log
hard,adaptive,T2.0,-T 2.0,2,4,0.068774,0.032911,2.089696,.522424,3,59921,artifacts/round1b-20251028_221003/logs/adaptive_T2.0_hard_rep2.log
hard,adaptive,T2.0,-T 2.0,3,4,0.068774,0.038131,1.803624,.450906,3,61921,artifacts/round1b-20251028_221003/logs/adaptive_T2.0_hard_rep3.log
easy,adaptive,T2.2,-T 2.2,1,4,0.069152,0.029207,2.367651,.591912,3,59921,artifacts/round1b-20251028_221003/logs/adaptive_T2.2_easy_rep1.log
easy,adaptive,T2.2,-T 2.2,2,4,0.069152,0.039118,1.767779,.441944,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.2_easy_rep2.log
easy,adaptive,T2.2,-T 2.2,3,4,0.069152,0.026468,2.612664,.653166,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.2_easy_rep3.log
med,adaptive,T2.2,-T 2.2,1,4,0.068887,0.033231,2.072974,.518243,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.2_med_rep1.log
med,adaptive,T2.2,-T 2.2,2,4,0.068887,0.035280,1.952579,.488144,3,61921,artifacts/round1b-20251028_221003/logs/adaptive_T2.2_med_rep2.log
med,adaptive,T2.2,-T 2.2,3,4,0.068887,0.038532,1.787786,.446946,3,61921,artifacts/round1b-20251028_221003/logs/adaptive_T2.2_med_rep3.log
hard,adaptive,T2.2,-T 2.2,1,4,0.068774,0.033036,2.081789,.520447,3,65921,artifacts/round1b-20251028_221003/logs/adaptive_T2.2_hard_rep1.log
hard,adaptive,T2.2,-T 2.2,2,4,0.068774,0.030053,2.288423,.572105,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.2_hard_rep2.log
hard,adaptive,T2.2,-T 2.2,3,4,0.068774,0.044027,1.562086,.390521,3,59921,artifacts/round1b-20251028_221003/logs/adaptive_T2.2_hard_rep3.log
easy,adaptive,T2.5,-T 2.5,1,4,0.069152,0.024921,2.774848,.693712,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.5_easy_rep1.log
easy,adaptive,T2.5,-T 2.5,2,4,0.069152,0.036174,1.911649,.477912,3,65921,artifacts/round1b-20251028_221003/logs/adaptive_T2.5_easy_rep2.log
easy,adaptive,T2.5,-T 2.5,3,4,0.069152,0.028943,2.389247,.597311,3,59921,artifacts/round1b-20251028_221003/logs/adaptive_T2.5_easy_rep3.log
med,adaptive,T2.5,-T 2.5,1,4,0.068887,0.040403,1.704997,.426249,3,71921,artifacts/round1b-20251028_221003/logs/adaptive_T2.5_med_rep1.log
med,adaptive,T2.5,-T 2.5,2,4,0.068887,0.038030,1.811385,.452846,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.5_med_rep2.log
med,adaptive,T2.5,-T 2.5,3,4,0.068887,0.033538,2.053998,.513499,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.5_med_rep3.log
hard,adaptive,T2.5,-T 2.5,1,4,0.068774,0.028133,2.444602,.611150,3,59921,artifacts/round1b-20251028_221003/logs/adaptive_T2.5_hard_rep1.log
hard,adaptive,T2.5,-T 2.5,2,4,0.068774,0.035981,1.911397,.477849,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.5_hard_rep2.log
hard,adaptive,T2.5,-T 2.5,3,4,0.068774,0.034482,1.994489,.498622,3,57921,artifacts/round1b-20251028_221003/logs/adaptive_T2.5_hard_rep3.log
easy,permuted,R12345,-R 12345,1,4,0.069152,0.019216,3.598667,.899666,1,39459,artifacts/round1b-20251028_221003/logs/permuted_R12345_easy_rep1.log
easy,permuted,R12345,-R 12345,2,4,0.069152,0.022994,3.007393,.751848,1,55843,artifacts/round1b-20251028_221003/logs/permuted_R12345_easy_rep2.log
easy,permuted,R12345,-R 12345,3,4,0.069152,0.023381,2.957615,.739403,1,47651,artifacts/round1b-20251028_221003/logs/permuted_R12345_easy_rep3.log
med,permuted,R12345,-R 12345,1,4,0.068887,0.016745,4.113884,1.028471,1,47651,artifacts/round1b-20251028_221003/logs/permuted_R12345_med_rep1.log
med,permuted,R12345,-R 12345,2,4,0.068887,0.022211,3.101481,.775370,1,55843,artifacts/round1b-20251028_221003/logs/permuted_R12345_med_rep2.log
med,permuted,R12345,-R 12345,3,4,0.068887,0.023713,2.905030,.726257,1,47651,artifacts/round1b-20251028_221003/logs/permuted_R12345_med_rep3.log
hard,permuted,R12345,-R 12345,1,4,0.068774,0.041960,1.639037,.409759,0,96523,artifacts/round1b-20251028_221003/logs/permuted_R12345_hard_rep1.log
hard,permuted,R12345,-R 12345,2,4,0.068774,0.036923,1.862633,.465658,0,104715,artifacts/round1b-20251028_221003/logs/permuted_R12345_hard_rep2.log
hard,permuted,R12345,-R 12345,3,4,0.068774,0.041645,1.651434,.412858,0,96523,artifacts/round1b-20251028_221003/logs/permuted_R12345_hard_rep3.log
easy,permuted,R54321,-R 54321,1,4,0.069152,0.014367,4.813252,1.203313,2,21920,artifacts/round1b-20251028_221003/logs/permuted_R54321_easy_rep1.log
easy,permuted,R54321,-R 54321,2,4,0.069152,0.016027,4.314718,1.078679,2,35253,artifacts/round1b-20251028_221003/logs/permuted_R54321_easy_rep2.log
