mode_cache,bits,U,L,U_run,category,key,P,variant,chunk_B_or_T_or_R,t_seq_s,t_par_s,speedup,rank_found,tests_total,log_file
with_cache,,8388608,0,8388608,hard,1048577,8,bruteforce_mpi_cyclic,,3.056193,0.018023,169.571825,0,30832,/home/rodri14/PY2-Paralela/artifacts/round2-20251028_115951/logs/bruteforce_mpi_cyclic_hard_p8_rep1.log
with_cache,,8388608,0,8388608,hard,1048577,8,bruteforce_mpi_cyclic,,3.056193,0.016084,190.014486,1,72621,/home/rodri14/PY2-Paralela/artifacts/round2-20251028_115951/logs/bruteforce_mpi_cyclic_hard_p8_rep2.log
with_cache,,8388608,0,8388608,hard,1048577,8,bruteforce_mpi_cyclic,,3.056193,0.028213,108.325701,0,49422,/home/rodri14/PY2-Paralela/artifacts/round2-20251028_115951/logs/bruteforce_mpi_cyclic_hard_p8_rep3.log
with_cache,,8388608,0,8388608,hard,1048577,8,bruteforce_mpi_dynamic_adaptive,,3.056193,0.020752,147.272215,7,121378,/home/rodri14/PY2-Paralela/artifacts/round2-20251028_115951/logs/bruteforce_mpi_dynamic_adaptive_hard_p8_rep1.log
with_cache,,8388608,0,8388608,hard,1048577,8,bruteforce_mpi_dynamic_adaptive,,3.056193,0.035700,85.607647,7,179068,/home/rodri14/PY2-Paralela/artifacts/round2-20251028_115951/logs/bruteforce_mpi_dynamic_adaptive_hard_p8_rep2.log
with_cache,,8388608,0,8388608,hard,1048577,8,bruteforce_mpi_dynamic_adaptive,,3.056193,0.022001,138.911549,7,121378,/home/rodri14/PY2-Paralela/artifacts/round2-20251028_115951/logs/bruteforce_mpi_dynamic_adaptive_hard_p8_rep3.log
with_cache,,8388608,0,8388608,hard,1048577,8,bruteforce_mpi_dynamic,,3.056193,1.580832,1.933281,2,5479059,/home/rodri14/PY2-Paralela/artifacts/round2-20251028_115951/logs/bruteforce_mpi_dynamic_hard_p8_rep1.log
with_cache,,8388608,0,8388608,hard,1048577,8,bruteforce_mpi_dynamic,,3.056193,1.465397,2.085573,1,5009220,/home/rodri14/PY2-Paralela/artifacts/round2-20251028_115951/logs/bruteforce_mpi_dynamic_hard_p8_rep2.log
with_cache,,8388608,0,8388608,hard,1048577,8,bruteforce_mpi_dynamic,,3.056193,1.563149,1.955151,3,5618056,/home/rodri14/PY2-Paralela/artifacts/round2-20251028_115951/logs/bruteforce_mpi_dynamic_hard_p8_rep3.log
